,Balancing method,Imbalance %,Model name,Model ID,loss,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,runtime,samples_per_second,steps_per_second,epoch,ID
1,LLama_simple,10,DistilBERT,1,0.6708589196205139,0.8311926605504587,0.8473029045643153,0.9812590100913022,0.7455275648046732,0.698066183504253,0.9634022602664598,0.9878787878787878,9.307459988955517e-08,42.2142,103.354,12.934,2.0,LLama_simple101
3,ROS,10,DistilBERT,2,1.0731345415115356,0.8121559633027523,0.8279050220634587,0.9752475247524752,0.7192405987586711,0.6671782746170115,0.9586557772788198,1.0,6.646897422032013e-64,41.5959,104.89,13.126,2.0,ROS102
6,Contextual_word_embedding,10,DistilBERT,3,1.0414769649505615,0.811697247706422,0.8265370800760616,0.9809428284854564,0.7141292442497261,0.670037039284347,0.9568193699029194,0.9878787878787878,9.307459988955517e-08,41.9435,104.021,13.018,2.0,Contextual_word_embedding103
7,LLama_complex,10,DistilBERT,3,0.6278846859931946,0.8428899082568807,0.8600040874718987,0.9767873723305478,0.7681635633442863,0.7127167992602422,0.9638637551721102,0.996965091635306,3.698093220209433e-10,42.532,102.582,12.837,2.0,LLama_complex103
8,LLama_simple,10,DistilBERT,3,0.6172627210617065,0.8307339449541284,0.8474576271186439,0.9766555502620295,0.7484483388097846,0.6946860355634,0.9628418896831228,0.996965091635306,3.698093220209433e-10,41.7072,104.61,13.091,2.0,LLama_simple103
9,LLama_complex,10,DistilBERT,4,0.6588147282600403,0.8419724770642202,0.8591290124718871,0.9763011152416357,0.7670682730923695,0.7110698163203915,0.963652715286022,1.0,6.646897422032013e-64,41.8334,104.295,13.052,2.0,LLama_complex104
12,Contextual_word_embedding,20,DistilBERT,0,0.6070431470870972,0.8665137614678899,0.8846611177170036,0.9674902470741222,0.8148959474260679,0.7441929855346838,0.965816380884426,0.996965091635306,3.698093220209433e-10,42.3851,102.937,12.882,2.0,Contextual_word_embedding200
13,LLama_complex,20,DistilBERT,0,0.4477865993976593,0.8642201834862385,0.8823996821613032,0.967755991285403,0.8108798831690398,0.7406748520092951,0.9665038934268846,0.9848069807617048,2.2888344854823721e-07,42.4512,102.777,12.862,2.0,LLama_complex200
14,ROS,20,DistilBERT,0,0.5653459429740906,0.8763761467889908,0.8942100098135427,0.966893039049236,0.8316903979554582,0.75985356293951,0.9659032067927368,0.9878787878787878,9.307459988955517e-08,42.3739,102.964,12.885,2.0,ROS200
16,Contextual_word_embedding,20,DistilBERT,1,0.5319222807884216,0.8811926605504588,0.8987490226739641,0.9671855279764408,0.8393574297188755,0.7679257885939855,0.9654029724416144,0.9878787878787878,9.307459988955517e-08,41.6553,104.741,13.108,2.0,Contextual_word_embedding201
17,LLama_simple,20,DistilBERT,1,0.4867972433567047,0.8559633027522936,0.8733870967741936,0.9752363800090048,0.7907995618838992,0.7316933023643761,0.965791718272338,0.996965091635306,3.698093220209433e-10,42.3371,103.054,12.896,2.0,LLama_simple201
18,Synonym replacement,20,DistilBERT,1,0.5378533601760864,0.8756880733944954,0.893223010244287,0.9700470688917416,0.8276743336984301,0.7602356903704456,0.966673603730158,1.0,6.646897422032013e-64,41.7719,104.448,13.071,2.0,Synonym replacement201
19,LLama_complex,20,DistilBERT,2,0.4382385611534118,0.8738532110091743,0.892114554727344,0.9639677829588807,0.8302300109529025,0.7543348545041744,0.9657293297467814,1.0,6.646897422032013e-64,41.7576,104.484,13.075,2.0,LLama_complex202
20,Spelling_mistake,20,DistilBERT,2,0.5651780962944031,0.8639908256880734,0.8824112631370218,0.9657118055555556,0.8123402701715955,0.7392706251331118,0.9636955088595084,0.9878787878787878,9.307459988955517e-08,42.3589,103.001,12.89,2.0,Spelling_mistake202
23,imbalanced,20,DistilBERT,3,0.3358661234378814,0.8706422018348624,0.8884493670886076,0.9693569270608544,0.8200073019350128,0.7517405514854792,0.9667077259742802,0.996965091635306,3.698093220209433e-10,41.8448,104.266,13.048,2.0,imbalanced203
24,paraphrase,20,DistilBERT,3,0.4755052626132965,0.8784403669724771,0.8970873786407767,0.9581086686022398,0.8433734939759037,0.7592256737702511,0.9611183222036258,0.960490759014502,1.0163235882999593e-05,41.7447,104.516,13.079,2.0,paraphrase203
25,Spelling_mistake,20,DistilBERT,4,0.5187110304832458,0.8784403669724771,0.8960784313725491,0.9678102498941128,0.8342460752099307,0.7636727126229118,0.96566558984522,0.9878787878787878,9.307459988955517e-08,41.8451,104.266,13.048,2.0,Spelling_mistake204
26,Synonym replacement,50,DistilBERT,0,0.2957361340522766,0.9130733944954128,0.9294358592440888,0.9483282674772036,0.9112814895947426,0.8174837486566535,0.9703413508219406,1.0,6.646897422032013e-64,41.6954,104.64,13.095,2.0,Synonym replacement500
27,Contextual_word_embedding,50,DistilBERT,1,0.3144645988941192,0.9080275229357798,0.9247231086915711,0.9517001545595054,0.8992332968236583,0.8089262999892181,0.9684244239590858,0.996965091635306,3.698093220209433e-10,41.647,104.761,13.11,2.0,Contextual_word_embedding501
28,Summarization,50,DistilBERT,1,0.3059552609920501,0.9061926605504588,0.923451244619128,0.947388632872504,0.900693683826214,0.804247346955394,0.96680457458796,0.996965091635306,3.698093220209433e-10,41.8364,104.287,13.051,2.0,Summarization501
30,paraphrase,50,DistilBERT,1,0.3130093216896057,0.9073394495412844,0.9241457003379648,0.9512949362195592,0.8985031033223805,0.8075290699800537,0.9675487323079542,0.996965091635306,3.698093220209433e-10,41.5912,104.902,13.128,2.0,paraphrase501
32,LLama_simple,50,DistilBERT,3,0.3030128180980682,0.904816513761468,0.9218308532680354,0.9521400778210116,0.8933917488134355,0.803135705874095,0.967946036853375,0.9878787878787878,9.307459988955517e-08,41.903,104.121,13.03,2.0,LLama_simple503
33,Synonym replacement,50,DistilBERT,3,0.2987748086452484,0.9059633027522936,0.9237634808478988,0.9412656309208032,0.9069003285870756,0.8021366233616184,0.9705670306147476,0.996965091635306,3.698093220209433e-10,41.7263,104.562,13.085,2.0,Synonym replacement503
35,Contextual_word_embedding,50,DistilBERT,4,0.2972430288791656,0.9126146788990824,0.9292741785780584,0.9452416918429004,0.913837166849215,0.815844465643376,0.9702317767508822,0.9787279253249042,8.73148286763856e-07,41.5842,104.92,13.13,2.0,Contextual_word_embedding504
36,LLama_simple,50,DistilBERT,4,0.2864411771297455,0.9128440366972476,0.929341762737077,0.946949602122016,0.9123767798466592,0.8167006040535164,0.9718072559431828,0.9878044218151566,9.53712822407752e-08,42.3274,103.078,12.899,2.0,LLama_simple504
37,Synonym replacement,50,DistilBERT,4,0.2964211106300354,0.9112385321100918,0.9282669138090824,0.9427710843373494,0.914202263599854,0.8126093326012307,0.9708834778292126,0.9787279253249042,8.73148286763856e-07,42.5528,102.531,12.831,2.0,Synonym replacement504
0,Contextual_word_embedding,10,DistilBERT,0,0.9537256956100464,0.8295871559633028,0.8462652596730809,0.9765998089780324,0.74662285505659,0.692981333267842,0.9559991972826531,0.960490759014502,1.0163235882999593e-05,42.295,103.156,12.909,2.0,Contextual_word_embedding100
1,LLama_complex,10,DistilBERT,0,0.538057804107666,0.8513761467889909,0.8691437802907916,0.9724356077722548,0.7856882073749544,0.7231286237388073,0.96566558984522,1.0,6.646897422032013e-64,42.2595,103.243,12.92,2.0,LLama_complex100
2,ROS,10,DistilBERT,0,1.1055679321289062,0.8229357798165138,0.8392336526447314,0.9767329132331556,0.7356699525374224,0.6834364856303816,0.9597721264734784,0.9878787878787878,9.307459988955517e-08,42.5754,102.477,12.824,2.0,ROS100
3,LLama_complex,10,DistilBERT,1,0.6988430023193359,0.8217889908256881,0.8380912690143779,0.9762135922330096,0.7342095655348667,0.6814768784395876,0.95998417989157,0.996965091635306,3.698093220209433e-10,42.2692,103.219,12.917,2.0,LLama_complex101
4,Spelling_mistake,10,DistilBERT,1,0.8173704743385315,0.8137614678899082,0.8293400588482555,0.9772164437840516,0.7203358890105878,0.6706541372093074,0.9611205744969672,1.0,6.646897422032013e-64,42.0053,103.868,12.998,2.0,Spelling_mistake101
6,Synonym replacement,10,DistilBERT,2,1.2284433841705322,0.7974770642201835,0.8111229946524063,0.9793388429752066,0.6922234392113911,0.6493077576732958,0.9576143168377622,0.996965091635306,3.698093220209433e-10,41.8245,104.317,13.055,2.0,Synonym replacement102
7,imbalanced,10,DistilBERT,2,0.333792507648468,0.808256880733945,0.8228062738448496,0.9807983830217282,0.7086527929901424,0.6651336520645063,0.9629896401263176,1.0,6.646897422032013e-64,42.3611,102.996,12.889,2.0,imbalanced102
9,ROS,10,DistilBERT,3,1.1013550758361816,0.8142201834862385,0.830259849119866,0.9744220363994096,0.7232566630156991,0.6695921598651625,0.9590205361854574,1.0,6.646897422032013e-64,41.9516,104.001,13.015,2.0,ROS103
10,Synonym replacement,10,DistilBERT,3,1.051160216331482,0.7979357798165138,0.8114701476567515,0.9803516028955532,0.6922234392113911,0.650575785049316,0.9563568614652654,1.0,6.646897422032013e-64,42.3611,102.995,12.889,2.0,Synonym replacement103
11,Contextual_word_embedding,10,DistilBERT,4,1.094890594482422,0.8174311926605504,0.8331936295054485,0.9778652238071815,0.7258123402701716,0.6762514835489557,0.9574180294730602,1.0,6.646897422032013e-64,42.4683,102.735,12.857,2.0,Contextual_word_embedding104
14,imbalanced,20,DistilBERT,0,0.3507158458232879,0.8628440366972477,0.880591054313099,0.9717937417364476,0.8050383351588171,0.7405775226951522,0.9668349805480684,0.9878787878787878,9.307459988955517e-08,42.3719,102.969,12.886,2.0,imbalanced200
15,Summarization,20,DistilBERT,1,0.4167256951332092,0.8850917431192661,0.903300521134916,0.9582309582309584,0.8543263964950711,0.7705266905956616,0.9627905373949388,0.9636363636363636,7.320974809529922e-06,42.4508,102.778,12.862,2.0,Summarization201
16,Contextual_word_embedding,20,DistilBERT,2,0.6250647306442261,0.8635321100917431,0.8818272095332672,0.9668989547038328,0.8105147864184009,0.7391452677551598,0.9624341119736644,0.9878787878787878,9.307459988955517e-08,42.612,102.389,12.813,2.0,Contextual_word_embedding202
17,ROS,20,DistilBERT,2,0.6218565106391907,0.8667431192660551,0.8846535636291444,0.969538729329852,0.8134355604235123,0.7455919448253181,0.964582574592014,0.9878787878787878,9.307459988955517e-08,41.9684,103.959,13.01,2.0,ROS202
20,LLama_simple,20,DistilBERT,3,0.4444325268268585,0.8756880733944954,0.8935585231736056,0.9668508287292816,0.8305951077035414,0.7587073077012964,0.9673775580140088,0.960490759014502,1.0163235882999593e-05,42.6133,102.386,12.813,2.0,LLama_simple203
21,LLama_complex,20,DistilBERT,4,0.4762413203716278,0.8678899082568807,0.8858049167327519,0.9691973969631236,0.8156261409273458,0.7472493737365616,0.9664016393091855,0.996965091635306,3.698093220209433e-10,42.2344,103.305,12.928,2.0,LLama_complex204
22,ROS,20,DistilBERT,4,0.6313340067863464,0.8733944954128441,0.890909090909091,0.9711331322705732,0.8229280759401242,0.7570480182423288,0.9660259567798422,0.9787279253249042,8.73148286763856e-07,42.2144,103.353,12.934,2.0,ROS204
23,Summarization,20,DistilBERT,4,0.4519190490245819,0.8669724770642202,0.8846459824980112,0.9716033202271734,0.8119751734209566,0.7470030571471641,0.9633617189863148,0.9878787878787878,9.307459988955517e-08,41.9623,103.974,13.012,2.0,Summarization204
24,Synonym replacement,20,DistilBERT,4,0.5650545358657837,0.8678899082568807,0.8858049167327519,0.9691973969631236,0.8156261409273458,0.7472493737365616,0.9658689719339472,0.996965091635306,3.698093220209433e-10,41.7992,104.38,13.062,2.0,Synonym replacement204
25,imbalanced,20,DistilBERT,4,0.3800936639308929,0.861697247706422,0.8789885611077665,0.9759358288770054,0.7995618838992333,0.7409488885960809,0.9658622150539232,0.996965091635306,3.698093220209433e-10,42.4957,102.669,12.848,2.0,imbalanced204
26,Contextual_word_embedding,50,DistilBERT,0,0.2817671298980713,0.9144495412844036,0.93065625580963,0.9481060606060606,0.913837166849215,0.8200573540174668,0.9709156856239944,0.9878787878787878,9.307459988955517e-08,42.4157,102.863,12.873,2.0,Contextual_word_embedding500
27,LLama_simple,50,DistilBERT,0,0.2932137846946716,0.9089449541284405,0.9257249766136576,0.9493476592478894,0.9032493610806864,0.8099556693156199,0.9709843805709067,0.9878787878787878,9.307459988955517e-08,41.7782,104.433,13.069,2.0,LLama_simple500
28,LLama_simple,50,DistilBERT,1,0.2912539839744568,0.9094036697247706,0.9259328708044252,0.9518118735543564,0.9014238773274916,0.8115182200539963,0.9703915769634536,1.0,6.646897422032013e-64,42.5302,102.586,12.838,2.0,LLama_simple501
30,imbalanced,50,DistilBERT,1,0.271261066198349,0.9105504587155964,0.9270482603815936,0.950517836593786,0.904709748083242,0.8132948617528153,0.9697839082199472,0.9878787878787878,9.307459988955517e-08,42.2507,103.264,12.923,2.0,imbalanced501
31,LLama_complex,50,DistilBERT,2,0.2909424006938934,0.9098623853211008,0.92625258022143,0.9528957528957528,0.9010587805768528,0.8126884677755964,0.9713143415454202,0.996965091635306,3.698093220209433e-10,42.2109,103.362,12.935,2.0,LLama_complex502
32,ROS,50,DistilBERT,2,0.3128040134906769,0.905045871559633,0.9221218961625282,0.9511059371362048,0.8948521358159912,0.803233340057511,0.9688012326351,0.960490759014502,1.0163235882999593e-05,41.8725,104.197,13.04,2.0,ROS502
33,Spelling_mistake,50,DistilBERT,2,0.3423021733760834,0.9,0.9173616376042456,0.953882538431218,0.8835341365461847,0.7949606986367141,0.9671498511571944,1.0,6.646897422032013e-64,42.3934,102.917,12.879,2.0,Spelling_mistake502
34,Synonym replacement,50,DistilBERT,2,0.3224152624607086,0.9043577981651376,0.921454134488604,0.951750972762646,0.8930266520627966,0.8021709756415927,0.968535124176815,0.9787279253249042,8.73148286763856e-07,42.3135,103.111,12.904,2.0,Synonym replacement502
35,paraphrase,50,DistilBERT,2,0.3114101588726043,0.90848623853211,0.9248446035034849,0.9552529182879378,0.8963125228185469,0.8108535477341129,0.9698568825242082,0.996965091635306,3.698093220209433e-10,42.3061,103.129,12.906,2.0,paraphrase502
37,Summarization,50,DistilBERT,3,0.2889443635940552,0.9123853211009174,0.9286514755323122,0.9506692160611856,0.9076305220883534,0.816790224362676,0.9710973330819772,0.9878787878787878,9.307459988955517e-08,42.2861,103.178,12.912,2.0,Summarization503
1,LLama_simple,10,DistilBERT,0,0.5560732483863831,0.8483944954128441,0.8658412827278263,0.9748628884826326,0.778751369112815,0.7199233721694555,0.9643085831070342,0.9878787878787878,9.307459988955517e-08,42.5878,102.447,12.821,2.0,LLama_simple100
4,Synonym replacement,10,DistilBERT,0,1.0429096221923828,0.8194954128440367,0.8349758859299643,0.9807881773399014,0.7269076305220884,0.6809625204990668,0.9588296543247748,0.996965091635306,3.698093220209433e-10,42.5265,102.595,12.839,2.0,Synonym replacement100
6,LLama_complex,10,DistilBERT,2,0.6578629016876221,0.8272935779816514,0.8443893366398015,0.9728571428571428,0.7458926615553122,0.6874289286843753,0.9618815118023548,1.0,6.646897422032013e-64,42.2823,103.187,12.913,2.0,LLama_complex102
9,Summarization,10,DistilBERT,3,0.7669966816902161,0.8025229357798165,0.8169253667871571,0.9781059063136456,0.701350857977364,0.6554867380437948,0.9588195190047386,0.9878044218151566,9.53712822407752e-08,42.6392,102.324,12.805,2.0,Summarization103
12,Summarization,10,DistilBERT,4,0.7076901197433472,0.819954128440367,0.8361511166771028,0.9761208576998052,0.7312887915297553,0.6787916080932409,0.9548320588731462,0.9787279253249042,8.73148286763856e-07,42.5229,102.604,12.84,2.0,Summarization104
13,Synonym replacement,10,DistilBERT,4,1.14586079120636,0.7919724770642201,0.8046521645487831,0.98109243697479,0.6820007301935013,0.6429053776641521,0.9599429629234228,1.0,6.646897422032013e-64,42.588,102.447,12.821,2.0,Synonym replacement104
16,Synonym replacement,20,DistilBERT,0,0.6044612526893616,0.8665137614678899,0.8842482100238664,0.9711664482306684,0.8116100766703176,0.7460527018058617,0.965226843102318,0.996965091635306,3.698093220209433e-10,42.6052,102.405,12.815,2.0,Synonym replacement200
18,ROS,20,DistilBERT,1,0.5718015432357788,0.8743119266055046,0.892168437622983,0.9675629534784465,0.8276743336984301,0.756802403609092,0.9649585949653584,0.996965091635306,3.698093220209433e-10,42.6627,102.267,12.798,2.0,ROS201
20,LLama_simple,20,DistilBERT,2,0.4457803964614868,0.8733944954128441,0.8914240755310779,0.9663113006396588,0.8273092369477911,0.7547070539003691,0.966048254483922,1.0,6.646897422032013e-64,42.4489,102.782,12.863,2.0,LLama_simple202
21,ROS,20,DistilBERT,3,0.5646080374717712,0.8798165137614679,0.8974158183241974,0.9674968341072182,0.836801752464403,0.7657933340304176,0.9673378050365332,1.0,6.646897422032013e-64,42.7637,102.026,12.768,2.0,ROS203
22,Spelling_mistake,20,DistilBERT,3,0.4768938720226288,0.8791284403669725,0.8972909764178523,0.9623745819397992,0.8404527199707923,0.7623003373111511,0.9646924865070736,0.996965091635306,3.698093220209433e-10,42.5595,102.515,12.829,2.0,Spelling_mistake203
