,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
0,39,Contextual_word_embedding,10,LSTM,0,0.575,0.2857142857142857,0.8947368421052632,0.17,0.2557850580644795,0.6939000000000001,0.9358192003574064,6.866753113624135e-05
1,30,LLama,10,LSTM,0,0.565,0.2564102564102564,0.8823529411764706,0.15,0.2330737408884557,0.6857,0.8231860349807906,0.0034339368139028
2,19,LLama_complex,10,LSTM,0,0.56,0.2413793103448275,0.875,0.14,0.2211629342323457,0.7025,0.7967120548770816,0.0057989848208308
3,65,ROS,10,LSTM,0,0.525,0.1121495327102803,0.8571428571428571,0.06,0.1360323904477358,0.6093,0.8379092353041679,0.0024713611632489
4,98,Spelling_mistake,10,LSTM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.5907,0.801489638010292,0.0053054716417302
5,118,Summarization,10,LSTM,0,0.5,0.0,0.0,0.0,0.0,0.5235000000000001,-0.049236596391733,0.8925556689885619
6,47,Synonym replacement,10,LSTM,0,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6015,0.5405395233092668,0.1067021895649416
7,89,imbalanced,10,LSTM,0,0.52,0.3043478260869565,0.5526315789473685,0.21,0.0509812741934581,0.585,0.4233447522064956,0.2228181042830319
8,84,Contextual_word_embedding,10,LSTM,1,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.5558000000000001,0.5048713746045669,0.1366614761654033
9,83,LLama,10,LSTM,1,0.525,0.128440366972477,0.7777777777777778,0.07,0.1205957675487369,0.596,0.5062596541607013,0.1354087667753193
10,14,LLama_complex,10,LSTM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.5849,0.3914537831560393,0.2632875529923414
11,111,ROS,10,LSTM,1,0.55,0.3283582089552239,0.6470588235294118,0.22,0.1331087170162505,0.6041999999999998,0.6878359394287946,0.0279157241318634
12,60,Spelling_mistake,10,LSTM,1,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.6206,0.8160123484559988,0.0039891443952871
13,72,Summarization,10,LSTM,1,0.5,0.0,0.0,0.0,0.0,0.5174000000000001,0.1875916198442167,0.6037816838313677
14,5,Synonym replacement,10,LSTM,1,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.6424,0.7816309677187628,0.0075710970103775
15,4,imbalanced,10,LSTM,1,0.52,0.1111111111111111,0.75,0.06,0.1020620726159657,0.5946,0.4001954556676623,0.2518186546708351
16,94,Contextual_word_embedding,10,LSTM,2,0.565,0.6200873362445415,0.5503875968992248,0.71,0.1358373882537626,0.5906,0.7012325483169698,0.0238505023296414
17,44,LLama,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5921000000000001,0.7517848542577158,0.0121539133217963
18,103,LLama_complex,10,LSTM,2,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.5865,0.5137830903923015,0.1287430267067993
19,41,ROS,10,LSTM,2,0.5,0.6666666666666666,0.5,1.0,0.0,0.6209,0.8670767080511405,0.0011597682651924
20,73,Spelling_mistake,10,LSTM,2,0.5,0.0196078431372549,0.5,0.01,0.0,0.6041000000000001,0.856305150653836,0.0015625004684127
21,13,Summarization,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5195,0.1590280994071409,0.660791050771099
22,40,Synonym replacement,10,LSTM,2,0.515,0.3576158940397351,0.5294117647058824,0.27,0.0344146242750849,0.5759000000000001,0.5443654172013671,0.1037602990734259
23,8,imbalanced,10,LSTM,2,0.505,0.0388349514563106,0.6666666666666666,0.02,0.0411345034894863,0.5972000000000001,0.7447035204249629,0.0134747785166137
24,82,Contextual_word_embedding,10,LSTM,3,0.54,0.3235294117647059,0.6111111111111112,0.22,0.1041158412590707,0.5740000000000001,0.6255339108083227,0.0530780454349971
25,20,LLama,10,LSTM,3,0.54,0.2068965517241379,0.75,0.12,0.1474419561548971,0.6595,0.7156264473321343,0.0199574946949778
26,58,LLama_complex,10,LSTM,3,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.6464,0.6808542089216724,0.0302111706883683
27,23,ROS,10,LSTM,3,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.6011,0.5969937312497637,0.0684265209780181
28,81,Spelling_mistake,10,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.5885,0.6933037246280291,0.0262034896771421
29,69,Summarization,10,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.5172000000000001,0.252337556507632,0.4818366039881696
30,54,Synonym replacement,10,LSTM,3,0.5,0.0196078431372549,0.5,0.01,0.0,0.6505,0.8170883606475996,0.0039020358324549
31,64,imbalanced,10,LSTM,3,0.495,0.073394495412844,0.4444444444444444,0.04,-0.0241191535097473,0.5863,0.9066928292470474,0.0002959115550594
32,42,Contextual_word_embedding,10,LSTM,4,0.68,0.5844155844155844,0.8333333333333334,0.45,0.4054424270396916,0.7066,0.6911605858848819,0.0268657831494504
33,97,LLama,10,LSTM,4,0.53,0.1296296296296296,0.875,0.07,0.1530931089239486,0.6643,0.7134278969833519,0.0205214118768503
34,61,LLama_complex,10,LSTM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6003000000000001,0.6544332114760285,0.0400585752699329
35,63,ROS,10,LSTM,4,0.7,0.6703296703296703,0.7439024390243902,0.61,0.4066418396811223,0.7668,0.9848069807617048,2.2888344854823721e-07
36,48,Spelling_mistake,10,LSTM,4,0.585,0.4113475177304964,0.7073170731707317,0.29,0.2105515441726557,0.6476,0.7278593780557606,0.0170141863821992
37,31,Summarization,10,LSTM,4,0.505,0.6688963210702341,0.5025125628140703,1.0,0.0708881205008336,0.506,0.130892578601184,0.7185278729908207
38,76,Synonym replacement,10,LSTM,4,0.525,0.1121495327102803,0.8571428571428571,0.06,0.1360323904477358,0.6422,0.6564911374796382,0.039223264750292
39,33,imbalanced,10,LSTM,4,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.5733,0.5243999926544296,0.1196879334337518
40,0,original,100,LSTM,0,0.55,0.2622950819672131,0.7272727272727273,0.16,0.1598006930251482,0.6483000000000001,0.9075630385563792,0.0002853342567491
41,1,original,100,SVM,0,0.84,0.8383838383838385,0.8469387755102041,0.83,0.6801360408136048,0.9315,0.996965091635306,3.698093220209433e-10
42,7,Contextual_word_embedding,20,LSTM,0,0.67,0.5874999999999999,0.7833333333333333,0.47,0.370970413401187,0.7583000000000002,0.9268464986450384,0.00011462381377
43,49,LLama,20,LSTM,0,0.535,0.2314049586776859,0.6666666666666666,0.14,0.1141725963200695,0.6186,0.6646465023178236,0.0360284612252284
44,59,LLama_complex,20,LSTM,0,0.545,0.272,0.68,0.17,0.1360672102833218,0.5953,0.4545454545454545,0.186904810349332
45,75,ROS,20,LSTM,0,0.525,0.1121495327102803,0.8571428571428571,0.06,0.1360323904477358,0.5982000000000001,0.8185584150125625,0.003785242137725
46,22,Spelling_mistake,20,LSTM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.6277,0.9075630385563792,0.0002853342567491
47,28,Summarization,20,LSTM,0,0.5,0.0,0.0,0.0,0.0,0.5571,0.3801200735545083,0.2785759433625851
48,90,Synonym replacement,20,LSTM,0,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6307,0.7195255713165428,0.0189838986426591
49,56,imbalanced,20,LSTM,0,0.55,0.4642857142857142,0.5735294117647058,0.39,0.1055500827301872,0.5815999999999999,0.4287037598659702,0.2163898452913053
50,125,Contextual_word_embedding,20,LSTM,1,0.5,0.0196078431372549,0.5,0.01,0.0,0.6068,0.5731813873199579,0.0832476270854916
51,46,LLama,20,LSTM,1,0.7,0.6551724137931034,0.7702702702702703,0.57,0.4142465106674667,0.7232,0.8753839828992931,0.0009053258282579
52,88,LLama_complex,20,LSTM,1,0.525,0.0952380952380952,1.0,0.05,0.1601281538050871,0.6383,0.7134278969833519,0.0205214118768503
53,110,ROS,20,LSTM,1,0.645,0.5234899328859061,0.7959183673469388,0.39,0.3371409329194803,0.7444,0.859772080979937,0.0014233071637547
54,95,Spelling_mistake,20,LSTM,1,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.6398,0.87806510397951,0.0008326922557953
55,16,Summarization,20,LSTM,1,0.5,0.0,0.0,0.0,0.0,0.5277,0.2037386413085749,0.5723653778180965
56,109,Synonym replacement,20,LSTM,1,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.5888,0.5609681940050744,0.0915903242687816
57,74,imbalanced,20,LSTM,1,0.59,0.5980392156862745,0.5865384615384616,0.61,0.180144173030723,0.5997,0.6523752867525634,0.0409057753453946
58,116,Contextual_word_embedding,20,LSTM,2,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.6610999999999999,0.9387209722839688,5.7269866514358486e-05
59,27,LLama,20,LSTM,2,0.58,0.6612903225806451,0.5540540540540541,0.82,0.1823843010350213,0.6067,0.6646940512883968,0.0360103690823689
60,52,LLama_complex,20,LSTM,2,0.575,0.4055944055944056,0.6744186046511628,0.29,0.1825606633237725,0.6413,0.807373427759331,0.0047397661498704
61,32,ROS,20,LSTM,2,0.515,0.1261261261261261,0.6363636363636364,0.07,0.0657951694959769,0.6349,0.8343519944775737,0.00268334531221
62,108,Spelling_mistake,20,LSTM,2,0.525,0.2857142857142857,0.5757575757575758,0.19,0.0673526672218017,0.6364000000000001,0.752325239503013,0.0120570050362718
63,3,Summarization,20,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5665,0.7237859573806376,0.0179582551255809
64,62,Synonym replacement,20,LSTM,2,0.52,0.1111111111111111,0.75,0.06,0.1020620726159657,0.6518,0.8405540732215928,0.0023217789500911
65,12,imbalanced,20,LSTM,2,0.545,0.6738351254480286,0.5251396648044693,0.94,0.1467933381258036,0.7027000000000001,0.9329441729782294,8.153458641949312e-05
66,114,Contextual_word_embedding,20,LSTM,3,0.54,0.1785714285714285,0.8333333333333334,0.1,0.1684303842133038,0.6711,0.902455801312274,0.0003515764490402
67,17,LLama,20,LSTM,3,0.57,0.2833333333333334,0.85,0.17,0.2333333333333333,0.7167000000000001,0.9573348703109936,1.3767647149144003e-05
68,86,LLama_complex,20,LSTM,3,0.57,0.3064516129032258,0.7916666666666666,0.19,0.2154101092138323,0.709,0.9108770332470622,0.0002475803236835
69,57,ROS,20,LSTM,3,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.6248,0.67700320038633,0.031530736260135
70,115,Spelling_mistake,20,LSTM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6301,0.6829395253173965,0.0295125778506635
71,92,Summarization,20,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.5613999999999999,0.587180674734059,0.0743064701029468
72,79,Synonym replacement,20,LSTM,3,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.6184999999999999,0.7462087741411999,0.013185993502853
73,26,imbalanced,20,LSTM,3,0.59,0.4305555555555555,0.7045454545454546,0.31,0.2172620473133704,0.6405,0.779199761307608,0.0078888929386352
74,10,Contextual_word_embedding,20,LSTM,4,0.515,0.1261261261261261,0.6363636363636364,0.07,0.0657951694959769,0.5855,0.6837922360756055,0.0292301166055457
75,70,LLama,20,LSTM,4,0.545,0.208695652173913,0.8,0.12,0.1708484392354498,0.6638999999999999,0.7622092916488802,0.0103786244997926
76,25,LLama_complex,20,LSTM,4,0.545,0.3973509933774835,0.5882352941176471,0.3,0.1032438728252547,0.5915999999999999,0.7400923087793867,0.0143869434834937
77,53,ROS,20,LSTM,4,0.5,0.0909090909090909,0.5,0.05,0.0,0.5512,0.3387594564044284,0.3383081019070614
78,104,Spelling_mistake,20,LSTM,4,0.52,0.3142857142857143,0.55,0.22,0.05,0.5935999999999999,0.6280604563186774,0.0518412098445685
79,122,Summarization,20,LSTM,4,0.515,0.6446886446886446,0.5086705202312138,0.88,0.0438951281306147,0.5498,0.4198250790600937,0.2270985345419744
80,93,Synonym replacement,20,LSTM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6186,0.7963562622208846,0.0058369973029321
81,51,imbalanced,20,LSTM,4,0.49,0.1904761904761904,0.4615384615384615,0.12,-0.0297350516725026,0.5554,0.5169842621131974,0.1259695811778341
82,15,Contextual_word_embedding,50,LSTM,0,0.515,0.1709401709401709,0.5882352941176471,0.1,0.0537862478973359,0.6292,0.7156264473321343,0.0199574946949778
83,102,LLama,50,LSTM,0,0.555,0.3597122302158273,0.6410256410256411,0.25,0.1388185307802088,0.6529000000000001,0.8624216160156492,0.0013231707980979
84,106,LLama_complex,50,LSTM,0,0.555,0.2521008403361344,0.7894736842105263,0.15,0.1875757092472849,0.6254000000000001,0.6933037246280291,0.0262034896771421
85,99,ROS,50,LSTM,0,0.545,0.1946902654867256,0.8461538461538461,0.11,0.1825366307208382,0.6626000000000001,0.8247129895615292,0.0033233431629506
86,38,Spelling_mistake,50,LSTM,0,0.52,0.1864406779661017,0.6111111111111112,0.11,0.0698856557814612,0.5803,0.6608480480431908,0.0374936920934366
87,11,Summarization,50,LSTM,0,0.5,0.0,0.0,0.0,0.0,0.6429999999999999,0.8528249356043897,0.0017118949981063
88,66,Synonym replacement,50,LSTM,0,0.505,0.0388349514563106,0.6666666666666666,0.02,0.0411345034894863,0.5871999999999999,0.6900655593423541,0.0272085603388695
89,29,Translation,50,LSTM,0,0.505,0.6688963210702341,0.5025125628140703,1.0,0.0708881205008336,0.7215,0.9118583155200968,0.000237143637005
90,112,imbalanced,50,LSTM,0,0.655,0.5766871165644172,0.746031746031746,0.47,0.3336807365889904,0.7099000000000001,0.8890413438919634,0.0005788836137017
91,117,Contextual_word_embedding,50,LSTM,1,0.55,0.2241379310344827,0.8125,0.13,0.1843024451936214,0.6299999999999999,0.4329348776565639,0.2113905613255407
92,105,LLama,50,LSTM,1,0.59,0.3387096774193548,0.875,0.21,0.2769558547034986,0.7659,0.9539590550898286,1.859328024300267e-05
93,123,LLama_complex,50,LSTM,1,0.585,0.3359999999999999,0.84,0.21,0.2570158416462745,0.7514,0.911353338910154,0.0002424731598548
94,35,ROS,50,LSTM,1,0.52,0.0943396226415094,0.8333333333333334,0.05,0.1172420763521098,0.6203,0.7517848542577158,0.0121539133217963
95,85,Spelling_mistake,50,LSTM,1,0.5,0.0196078431372549,0.5,0.01,0.0,0.6791,0.7622092916488802,0.0103786244997926
96,113,Summarization,50,LSTM,1,0.5,0.0,0.0,0.0,0.0,0.732,0.8902604526458922,0.0005547038179406
97,50,Synonym replacement,50,LSTM,1,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.5789,0.6850441205230687,0.0288187786269402
98,45,Translation,50,LSTM,1,0.535,0.146788990825688,0.8888888888888888,0.08,0.1688340745682317,0.7494999999999999,0.9634325446441844,7.484641255317349e-06
99,18,imbalanced,50,LSTM,1,0.5,0.0,0.0,0.0,0.0,0.723,0.9354953314429288,7.003621682809512e-05
100,21,Contextual_word_embedding,50,LSTM,2,0.505,0.0388349514563106,0.6666666666666666,0.02,0.0411345034894863,0.5958,0.7134278969833519,0.0205214118768503
101,2,LLama,50,LSTM,2,0.58,0.373134328358209,0.7352941176470589,0.25,0.2129739472260008,0.6948,0.8405540732215928,0.0023217789500911
102,24,LLama_complex,50,LSTM,2,0.6,0.5789473684210527,0.6111111111111112,0.55,0.2010075630518424,0.6739999999999999,0.880104160502229,0.0007803700680961
103,96,ROS,50,LSTM,2,0.535,0.146788990825688,0.8888888888888888,0.08,0.1688340745682317,0.6349,0.6462303276414968,0.0435070050186623
104,121,Spelling_mistake,50,LSTM,2,0.655,0.5548387096774193,0.7818181818181819,0.43,0.3471333567926297,0.7128,0.8963581269790831,0.0004446886629646
105,77,Summarization,50,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.66,0.7301163117764201,0.0165062454981005
106,107,Synonym replacement,50,LSTM,2,0.495,0.0,0.0,0.0,-0.0708881205008336,0.6762,0.731720919982925,0.0161515953631078
107,87,Translation,50,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.655,0.880104160502229,0.0007803700680961
108,71,imbalanced,50,LSTM,2,0.595,0.6966292134831461,0.5568862275449101,0.93,0.2559401354428465,0.7071000000000001,0.9817255676437576,4.773070226572784e-07
109,34,Contextual_word_embedding,50,LSTM,3,0.545,0.2479338842975206,0.7142857142857143,0.15,0.1467933381258036,0.6041,0.8000946913656626,0.0054463418985253
110,119,LLama,50,LSTM,3,0.615,0.5925925925925927,0.6292134831460674,0.56,0.2314042565564089,0.6443,0.7508580949739296,0.0123213799869953
111,91,LLama_complex,50,LSTM,3,0.705,0.624203821656051,0.8596491228070176,0.49,0.4541281362425157,0.7807999999999999,0.9361745372672996,6.718873258402915e-05
112,101,ROS,50,LSTM,3,0.59,0.4383561643835616,0.6956521739130435,0.32,0.2138618054347908,0.6220999999999999,0.801256962397518,0.0053287859789657
113,37,Spelling_mistake,50,LSTM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6785,0.9878044218151566,9.53712822407752e-08
114,36,Summarization,50,LSTM,3,0.5,0.0196078431372549,0.5,0.01,0.0,0.6782,0.8739495859532623,0.0009460263190178
115,126,Synonym replacement,50,LSTM,3,0.53,0.1296296296296296,0.875,0.07,0.1530931089239486,0.6216,0.5749477440104327,0.0820831635353696
116,9,Translation,50,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.7318,0.7865999889816444,0.0069499565821644
117,78,imbalanced,50,LSTM,3,0.51,0.6643835616438356,0.5052083333333334,0.97,0.0510310363079828,0.5972,0.6789276551612556,0.0308665130012985
118,100,Contextual_word_embedding,50,LSTM,4,0.62,0.4242424242424242,0.875,0.28,0.3273268353539886,0.7227000000000001,0.8936211492096949,0.0004918730190819
119,55,LLama,50,LSTM,4,0.52,0.1111111111111111,0.75,0.06,0.1020620726159657,0.6479999999999999,0.754658036542014,0.0116448725046173
120,80,LLama_complex,50,LSTM,4,0.565,0.4313725490196078,0.6226415094339622,0.33,0.1472810087762267,0.6211,0.5122046439880474,0.1301243421042787
121,43,ROS,50,LSTM,4,0.58,0.6037735849056605,0.5714285714285714,0.64,0.161164592805076,0.6195,0.743916268649307,0.0136275615080643
122,68,Spelling_mistake,50,LSTM,4,0.505,0.0571428571428571,0.6,0.03,0.0320256307610174,0.622,0.7653454385433384,0.0098824298555665
123,120,Summarization,50,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.7141,0.902455801312274,0.0003515764490402
124,6,Synonym replacement,50,LSTM,4,0.51,0.0754716981132075,0.6666666666666666,0.04,0.0586210381760549,0.679,0.8902604526458922,0.0005547038179406
125,124,Translation,50,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.7196,0.8303030303030302,0.0029402270232795
126,67,imbalanced,50,LSTM,4,0.565,0.4971098265895953,0.589041095890411,0.43,0.1350143909842208,0.6097999999999999,0.5122046439880474,0.1301243421042787
0,13,paraphrase,10,LSTM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.6994,0.8985678841491289,0.0004090848335979
2,1,paraphrase,10,LSTM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6746,0.8693049274624923,0.0010869850351278
4,11,paraphrase,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5988,0.7584417048648262,0.0109975981092425
6,10,paraphrase,10,LSTM,3,0.5,0.0384615384615384,0.5,0.02,0.0,0.5887,0.6150966989381312,0.0583945881750083
8,4,paraphrase,10,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.6173,0.6400431019968835,0.0462358799692174
10,0,paraphrase,20,LSTM,0,0.53,0.2295081967213114,0.6363636363636364,0.14,0.0958804158150889,0.5562000000000001,0.6797294208444249,0.0305926182053954
12,6,paraphrase,20,LSTM,1,0.53,0.2033898305084745,0.6666666666666666,0.12,0.1048284836721918,0.6758000000000001,0.8632258720256917,0.0012938147605104
14,7,paraphrase,20,LSTM,2,0.585,0.3565891472868217,0.7931034482758621,0.23,0.2414081162773061,0.6874,0.8896375227527807,0.0005669647218379
16,9,paraphrase,20,LSTM,3,0.575,0.2608695652173913,1.0,0.15,0.2847473987257497,0.6547,0.793940116816696,0.0060998434372301
18,8,paraphrase,20,LSTM,4,0.57,0.3582089552238806,0.7058823529411765,0.24,0.1863522038227507,0.7012,0.9137369367778512,0.0002180704665461
20,14,paraphrase,50,LSTM,0,0.575,0.4137931034482758,0.6666666666666666,0.3,0.1796053020267748,0.6134999999999999,0.8087806670128277,0.0046111333878507
22,5,paraphrase,50,LSTM,1,0.62,0.5308641975308642,0.6935483870967742,0.43,0.2594632500386463,0.7302,0.9636363636363636,7.320974809529922e-06
24,3,paraphrase,50,LSTM,2,0.65,0.4999999999999999,0.875,0.35,0.375,0.7561,0.9030303030303028,0.0003436121977632
26,2,paraphrase,50,LSTM,3,0.605,0.572972972972973,0.6235294117647059,0.53,0.2124031297181529,0.6514,0.8109906863144085,0.0044141850671481
28,12,paraphrase,50,LSTM,4,0.515,0.3741935483870968,0.5272727272727272,0.29,0.0335935506573512,0.5589999999999999,0.4941560956208609,0.146569450170854
